cycle_index,t_start,t_end,cycle_duration_nominal,sample_count,theta0_rad,theta_start_rad,theta_end_rad,max_abs_vel_rad_s,mean_abs_vel_rad_s,rms_vel_rad_s,mean_vel_rad_s,max_abs_delta_theta_rad,mean_abs_delta_theta_rad,rms_delta_theta_rad,ptp_theta_rad,vel_bound_rad_s,satisfy_vel_bound,angle_margin_ratio
999,1774257677.1368902,1774257677.1868901,0.05,5,-0.08282369295007538,-0.08282369295007538,-0.1975305019488651,5.765525463923501,2.865659987817114,3.53244492807628,-2.865659987817114,0.11470680899878971,0.0602979576259333,0.07669673117394583,0.11470680899878971,0.9,0,2.5490401999731045
1000,1774257677.1868901,1774257677.23689,0.05,5,-0.17255898851012816,-0.17255898851012816,-0.2642591366640202,8.265981677442898,2.8446585424976805,4.233840928855907,-2.314119418737499,0.09170014815389202,0.06471010560139148,0.07263982213870084,0.09170014815389202,0.9,0,2.037781070086489
1001,1774257677.23689,1774257677.28689,0.05,5,-0.3390384492652907,-0.3390384492652907,-0.3662849453181498,4.398641731051317,2.876211448296406,3.038813933865802,-0.6768905827707477,0.027246496052859115,0.015090821050089243,0.018687215865603832,0.051416519246448966,0.9,0,0.6054776900635358
1002,1774257677.28689,1774257677.33689,0.05,5,-0.40298612985968113,-0.40298612985968113,-0.46733977529726045,5.074988003647012,2.2969443808968606,2.8174870485081587,-1.8554147296092134,0.06435364543757932,0.044738350525140816,0.05044280554173613,0.06435364543757932,0.9,0,1.4300810097239847
1003,1774257677.3368902,1774257677.3868902,0.05,5,-0.4753936306123374,-0.4753936306123374,-0.4097294551360609,5.717454909776648,2.0383780651586028,2.9913268581227377,1.5917373757721418,0.06566417547627651,0.017736306453466043,0.029972444651803487,0.07482656766248663,0.9,0,1.4592038994728112
1004,1774257677.3868902,1774257677.4368901,0.05,5,-0.35960297112225453,-0.35960297112225453,-0.28418842235932706,6.8160429903185715,4.829197628546271,5.48264382600203,1.421176133386985,0.11934835094876392,0.07166774407252305,0.08408271082954867,0.11934835094876392,0.9,0,2.652185576639198
1005,1774257677.4368901,1774257677.48689,0.05,5,-0.27251699020444964,-0.27251699020444964,-0.1572542735699204,5.179069972529778,3.9361668631608495,4.121513046440107,2.8498939337913978,0.13638264138109507,0.07898018428484134,0.09254247326314474,0.13638264138109507,0.9,0,3.0307253640243346
1006,1774257677.48689,1774257677.53689,0.05,5,-0.16909298224965505,-0.16909298224965505,-0.05886125717917996,10.111288327019698,3.0368507812085364,5.120100213723398,2.8004541965020238,0.11023172507047509,0.025228458504507945,0.049603900742185236,0.11441774110839041,0.9,0,2.4495938904550014
1007,1774257677.53689,1774257677.58689,0.05,5,-0.07311719063697186,-0.07311719063697186,-0.15826364811877977,5.170699474530974,2.015682296282412,2.7739120530811663,-2.015682296282412,0.08514645748180791,0.05768152587844655,0.0653724145713915,0.08514645748180791,0.9,0,1.8921434995957311
1008,1774257677.5868902,1774257677.6368902,0.05,5,-0.14530227153236003,-0.14530227153236003,-0.21379972186062401,4.0678185722641755,3.0956534123879975,3.2015600883832627,-1.0617441262559097,0.06849745032826399,0.02450393878799522,0.03502087357591009,0.06849745032826399,0.9,0,1.5221655628503106
